01 Title Screen		Dahna: Megami Tanjou		Opening
02 Menu			Virtua Racing Deluxe		Name Entry
03 Wave Ocean 1		Shura No Mon			Battle Theme 1
04 Wave Ocean 2	 	The Hybrid Front		Earth ~ Rebellion 2
05 Dusty Desert 1	Cosmic Carnage			Narut0's Stage
06 Dusty Desert 2	Shinobi 3			My Dear D
07 White Acropolis 1	Shadow Dancer			Stage 2-1
08 White Acropolis 2	Zaxxon's Motherbase 2000	Stage 6
09 Crisis City 1	Shadow Dancer			Stage 4-2
0A Crisis City 2	Cosmic Carnage			Yug's Stage
0B Flame Core 1		Golden Axe III			Death Mountain 
0C Flame Core 2		Cosmic Carnage			Cyclic's Stage (Fully Armored)
0D Radical Train 1	The Hybrid Front		Earth ~ PETO Fight BGM 1
0E Radical Train 2	Virtua Racing Deluxe		Replay
0F Tropical Jungle 1	Aa Haraminada			Young Noble's Slap
10 Tropical Jungle 2	Golden Axe III			Ride the Whirlwind
11 Kingdom Valley 1	Dyna Bros 2			Diamonds on Home Planet
12 Kingdom Valley 2 	Golden Axe III			The Vast Field
13 Aquatic Base 1	Shadow Dancer			Stage 3-2, 5-1
14 Aquatic Base 2	Shinobi 3			Idaten
15 Eggman Fight		Golden Axe II			Boss Theme 1
16 Character Fight	Zaxxon's Motherbase 2000	Stage 2 (Part 1)
17 Monster Fight	Michael Jackson's Moonwalker	Mr. Big
18 Bonus Stage		Dangerous Seed			Stage 7 Uranus
19 Special Stage	Mega Man: The Wily Wars		Wily Tower Stage 4
1A Emerald		Sonic and Knuckles		Emerald
1B Invincibility	Shinobi 3 Earlier Prototype	???
1C Stage Clear		Sonic and Knuckles		Stage Clear
1D Stage Results	Phantasy Star 4			Cybernetic Carnival
1E Game Over		Columns III			The End
1F End of the World	Zaxxon's Motherbase 2000	Stage 3, Stage 7
20 Final Boss Part 1	Shinobi 3			Shadow Master
21 Final Boss Part 2	Golden Axe II			Boss Theme 2
22 Sonic Credits	Shinobi 3 Early Prototype	Sakura
23 Shadow Credits	Zaxxon's Motherbase 2000	Staff Roll
24 Silver Credits	Mega Man: The Wily Wars		Wily Tower Ending
25 Final Credits	Metal Head			Finale
2A Extra Life		Sonic 3				Extra Life
33-DF			Sound Effects
